trial,prompt,gloss,version,否fou,pos_1,pos_2,pos_3,trial_type,condition,quantifier,quantifier_gloss
1,我的盒子里有些是桃子,Some of the animals in my box are peaches.,V1,Others,Others,Contrast,Target,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
2,我的盒子里有些是猴子,Some of the animals in my box are monkeys.,V1,Others,Target,Others,Contrast,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
3,我的盒子里有两个香蕉,There are two bananas in my box.,V1,,,Exact,Nonexact,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
4,我的盒子里有些是橙子,Some of the animals in my box are oranges.,V2,Others,Others,Contrast,Target,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
5,我的盒子里有两个苹果,There are two apples in my box.,V1,,Nonexact,Exact,,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
6,我的盒子里有些是小狗,Some of the animals in my box are dogs.,V1,Others,Contrast,Others,Target,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
7,我的盒子里有两只鸭子,There are two ducks in my box.,V2,Exact,Nonexact,Nonexact,,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
8,我的盒子里有些是苹果,Some of the animals in my box are apples.,V2,Others,contrast,Others,Target,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
9,我的盒子里有两个桃子,There are two peaches in my box.,V2,Exact,Nonexact,,Nonexact,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
10,我的盒子里有些是菠萝,Some of the animals in my box are pineapples.,V2,Others,contrast,Target,Others,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
11,我的盒子里有些是兔子,Some of the animals in my box are rabbits.,V2,Others,Others,contrast,Target,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
12,我的盒子里有两只小猪,There are two pigs in my box.,V1,,,Exact,Nonexact,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
13,我的盒子里有两只兔子,There are two rabbits in my box.,V2,Exact,,Nonexact,Nonexact,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
14,我的盒子里有些是芒果,Some of the animals in my box are mangos.,V1,Others,Target,contrast,Others,Scalar,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
15,我的盒子里有两只小狗,There are two dogs in my box.,V1,,Nonexact,,Exact,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
16,我的盒子里有两个香蕉,There are two bananas in my box.,V2,Exact,,Nonexact,Nonexact,Numeral,Condition 1有些 (some): Scalar implicatures,youxie,some (scalar)
